공종,작업명,단위작업명,기인물,사고건수,단위작업명전체건수,비중(%)
4. 마감공사,"4.1 조적, 미장 및 견출작업",4.1.2 조적시공,개구부(바닥개구부),1,25,4.0
4. 마감공사,"4.1 조적, 미장 및 견출작업",4.1.2 조적시공,계단,1,25,4.0
4. 마감공사,"4.1 조적, 미장 및 견출작업",4.1.2 조적시공,교통수단,1,25,4.0
4. 마감공사,"4.1 조적, 미장 및 견출작업",4.1.2 조적시공,굴착기,1,25,4.0
4. 마감공사,"4.1 조적, 미장 및 견출작업",4.1.2 조적시공,사다리,1,25,4.0
4. 마감공사,"4.1 조적, 미장 및 견출작업",4.1.2 조적시공,슬라브단부,1,25,4.0
4. 마감공사,"4.1 조적, 미장 및 견출작업",4.1.2 조적시공,지게차,1,25,4.0
1. 토공사,1.1 굴착 작업,1.1.3 굴착 토사반출,트럭,13,23,56.5
4. 마감공사,4.8 판넬 등 외부마감 작업,4.8.1 판넬 등 외부마감 자재반입,"지붕(처마,홈통)",8,23,34.8
2. 철근콘크리트공사,2.3 철근 작업,2.3.2 철근 가공 및 운반,"철근콘크리트자재(철근,콘크리트,PC)",6,23,26.1
7. 도로 및 포장공사,7.2 포설 및 다짐 작업,7.2.1 포설 및 다짐,로울러,6,23,26.1
7. 도로 및 포장공사,7.2 포설 및 다짐 작업,7.2.1 포설 및 다짐,트럭,6,23,26.1
2. 철근콘크리트공사,2.3 철근 작업,2.3.2 철근 가공 및 운반,이동식크레인,5,23,21.7
1. 토공사,1.1 굴착 작업,1.1.3 굴착 토사반출,굴착기,4,23,17.4
2. 철근콘크리트공사,2.3 철근 작업,2.3.2 철근 가공 및 운반,"각재(파이프,강관,합판)",3,23,13.0
4. 마감공사,4.8 판넬 등 외부마감 작업,4.8.1 판넬 등 외부마감 자재반입,개구부(바닥개구부),3,23,13.0
7. 도로 및 포장공사,7.2 포설 및 다짐 작업,7.2.1 포설 및 다짐,굴착기,3,23,13.0
7. 도로 및 포장공사,7.2 포설 및 다짐 작업,7.2.1 포설 및 다짐,기타건설장비,3,23,13.0
1. 토공사,1.1 굴착 작업,1.1.3 굴착 토사반출,기타건설장비,2,23,8.7
2. 철근콘크리트공사,2.3 철근 작업,2.3.2 철근 가공 및 운반,비계,2,23,8.7
4. 마감공사,4.8 판넬 등 외부마감 작업,4.8.1 판넬 등 외부마감 자재반입,고소작업대,2,23,8.7
4. 마감공사,4.8 판넬 등 외부마감 작업,4.8.1 판넬 등 외부마감 자재반입,외부마감재,2,23,8.7
4. 마감공사,4.8 판넬 등 외부마감 작업,4.8.1 판넬 등 외부마감 자재반입,"지붕(채광판,선라이트)",2,23,8.7
4. 마감공사,4.8 판넬 등 외부마감 작업,4.8.1 판넬 등 외부마감 자재반입,충전부,2,23,8.7
7. 도로 및 포장공사,7.2 포설 및 다짐 작업,7.2.1 포설 및 다짐,기타구조물,2,23,8.7
1. 토공사,1.1 굴착 작업,1.1.3 굴착 토사반출,물,1,23,4.3
