공종,작업명,단위작업명,기인물,재해형태,사고건수,단위작업명전체건수,비중(%),기인물 분류(VlookUp),구분(12대 기인물 = 중점관리대상),위험도 순위 (~12위),3년간 사고비중(19~21년)
"5. 전기, 기계설비공사",5.2 기계설비 작업,"5.2.1 기계설비 자재반입, 가공, 운반",기계설비,끼임,1,32,3.1,기계설비,해당없음,해당없음,해당없음
"5. 전기, 기계설비공사",5.2 기계설비 작업,"5.2.1 기계설비 자재반입, 가공, 운반",기계설비,맞음(낙하물체),1,32,3.1,기계설비,해당없음,해당없음,해당없음
"5. 전기, 기계설비공사",5.2 기계설비 작업,"5.2.1 기계설비 자재반입, 가공, 운반",기타구조물,떨어짐,1,32,3.1,기타구조물,해당없음,해당없음,해당없음
"5. 전기, 기계설비공사",5.2 기계설비 작업,"5.2.1 기계설비 자재반입, 가공, 운반","기타자재(내부마감재,시멘트,마대)",깔림 뒤집힘,1,32,3.1,"기타자재(내부마감재,시멘트,마대)",해당없음,해당없음,해당없음
"5. 전기, 기계설비공사",5.2 기계설비 작업,"5.2.1 기계설비 자재반입, 가공, 운반","기타자재(내부마감재,시멘트,마대)",떨어짐,1,32,3.1,"기타자재(내부마감재,시멘트,마대)",해당없음,해당없음,해당없음
"5. 전기, 기계설비공사",5.2 기계설비 작업,"5.2.1 기계설비 자재반입, 가공, 운반","기타자재(내부마감재,시멘트,마대)",부딪힘 접촉,1,32,3.1,"기타자재(내부마감재,시멘트,마대)",해당없음,해당없음,해당없음
"5. 전기, 기계설비공사",5.2 기계설비 작업,"5.2.1 기계설비 자재반입, 가공, 운반","지붕(처마,홈통)",떨어짐,1,32,3.1,마감재,12대 기인물,3,7.1%
"5. 전기, 기계설비공사",5.2 기계설비 작업,"5.2.1 기계설비 자재반입, 가공, 운반",작업발판/가설계단,떨어짐,1,32,3.1,작업발판/가설계단,12대 기인물,4,6.9%
11. 기타 토목공사,11.1 부대 토목 작업,11.1.1 부대토목 옹벽시공,토사,무너짐,6,30,20.0,토사,해당없음,해당없음,해당없음
11. 기타 토목공사,11.1 부대 토목 작업,11.1.1 부대토목 옹벽시공,굴착기,부딪힘 접촉,3,30,10.0,건설기계,12대 기인물,5,4.9%
11. 기타 토목공사,11.1 부대 토목 작업,11.1.1 부대토목 옹벽시공,슬라브단부,떨어짐,3,30,10.0,슬라브단부,해당없음,해당없음,해당없음
11. 기타 토목공사,11.1 부대 토목 작업,11.1.1 부대토목 옹벽시공,굴착기,맞음,2,30,6.7,건설기계,12대 기인물,5,4.9%
11. 기타 토목공사,11.1 부대 토목 작업,11.1.1 부대토목 옹벽시공,기타구조물,깔림 뒤집힘,2,30,6.7,기타구조물,해당없음,해당없음,해당없음
11. 기타 토목공사,11.1 부대 토목 작업,11.1.1 부대토목 옹벽시공,"각재(파이프,강관,합판)",맞음,1,30,3.3,"각재(파이프,강관,합판)",해당없음,해당없음,해당없음
11. 기타 토목공사,11.1 부대 토목 작업,11.1.1 부대토목 옹벽시공,굴착기,맞음(낙하물체),1,30,3.3,건설기계,12대 기인물,5,4.9%
